iteration internal-T external-T loop-time(ms) wall-time(ms)
692 275.91 260 9.47557 7789
693 275.895 260 9.50693 7800
694 275.881 260 9.50234 7812
695 275.867 260 9.49339 7823
696 275.852 260 9.5288 7834
697 275.838 260 9.49484 7845
698 275.823 260 9.51391 7857
699 275.809 260 9.47969 7868
700 275.795 260 9.5075 7879
701 275.781 260 9.50458 7890
702 275.766 260 9.51755 7902
703 275.752 260 9.51292 7913
704 275.738 260 9.50599 7924
705 275.724 260 9.49927 7935
706 275.709 260 9.51661 7946
707 275.695 260 9.49896 7958
708 275.681 260 9.49312 7969
709 275.667 260 9.47792 7980
710 275.653 260 9.53406 7991
711 275.639 260 9.59323 8003
712 275.625 260 9.54333 8014
713 275.611 260 9.50151 8025
714 275.597 260 9.51708 8037
715 275.583 260 9.45698 8048
716 275.569 260 9.52453 8059
717 275.555 260 9.51474 8070
718 275.541 260 9.48958 8082
719 275.527 260 9.50432 8093
720 275.513 260 9.5026 8104
721 275.499 260 9.46708 8115
722 275.485 260 9.50516 8127
723 275.471 260 9.4925 8138
724 275.457 260 9.49734 8149
725 275.443 260 9.50797 8160
726 275.43 260 9.52651 8172
727 275.416 260 9.51505 8183
728 275.402 260 9.51797 8194
729 275.388 260 9.50406 8205
730 275.375 260 9.51693 8217
731 275.361 260 9.50677 8228
732 275.347 260 9.51802 8239
733 275.333 260 9.51245 8250
734 275.32 260 9.52667 8262
735 275.306 260 9.51974 8273
736 275.292 260 9.50568 8284
737 275.279 260 9.50365 8295
738 275.265 260 9.52536 8306
739 275.252 260 9.50578 8318
740 275.238 260 9.51583 8329
741 275.224 260 9.47026 8340
742 275.211 260 9.49203 8351
743 275.197 260 9.47505 8363
744 275.184 260 9.48224 8374
745 275.17 260 9.50026 8385
746 275.157 260 9.52391 8396
747 275.143 260 9.47896 8408
748 275.13 260 9.47146 8419
749 275.117 260 9.52526 8430
750 275.103 260 9.51349 8441
751 275.09 260 9.50667 8452
752 275.076 260 9.53073 8464
